Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
B,Barnes Group Inc.,NYQ,NYSE,S,Equity
BRY,Berry Petroleum Corporation,NYQ,NYSE,S,Equity
BGS.V,Baroyeca Gold & Silver Inc.,VAN,CDNX,S,Equity
BRC.V,Blackrock Gold Corp.,VAN,CDNX,S,Equity
BAF.AX,Blue Sky Alternatives Access Fund Ltd,ASX,Australian,S,Equity
BAKK.L,Bakkavor Group plc,LSE,London,S,Equity
BC8.AX,Black Cat Syndicate Limited,ASX,Australian,S,Equity
BEC.SI,BRC Asia Limited,SES,Singapore,S,Equity
BEM.AX,BlackEarth Minerals NL,ASX,Australian,S,Equity
BFC.AX,Beston Global Food Company Limited,ASX,Australian,S,Equity
C,Citigroup Inc.,NYQ,NYSE,S,Equity
CBI.V,Colibri Resource Corporation,VAN,CDNX,S,Equity
CIR.L,Circassia Pharmaceuticals Plc,LSE,London,S,Equity
CSP.L,Countryside Properties PLC,LSE,London,S,Equity
CVX.V,CEMATRIX Corporation,VAN,CDNX,S,Equity
EVD.F,CTS Eventim AG & Co. KGaA,FRA,Frankfurt,S,Equity
GLO.L,ContourGlobal plc,LSE,London,S,Equity
CAS.PA,Cast SA,ENX,Euronext,S,Equity
CAT.AX,Catapult Group International Limited,ASX,Australian,S,Equity
CGR.AX,CML Group Limited,ASX,Australian,S,Equity
D,"Dominion Energy, Inc.",NYQ,NYSE,S,Equity
DAVA,Endava plc,NYS,NYSE,S,Equity
DPW.F,Deutsche Post AG,FRA,Frankfurt,S,Equity
DSM.L,Downing Strategic Micro-Cap Investment Trust PLC,LSE,London,S,Equity
DBV.PA,DBV Technologies S.A.,PAR,Paris,S,Equity
DNX.PA,DNXCorp SE,ENX,Euronext,S,Equity
016740.KS,"DUAL Co.,Ltd.",KSC,Korea,S,Equity
045390.KQ,"DAEA TI Co., Ltd.",KOE,KOSDAQ,S,Equity
088910.KQ,"Dongwoo Farm To Table Co.,Ltd",KOE,KOSDAQ,S,Equity
096350.KQ,"DaeChang Solution Co., Ltd.",KOE,KOSDAQ,S,Equity
E,Eni S.p.A.,NYQ,NYSE,S,Equity
EXNT,"EnXnet, Inc.",PNK,OTC Markets,S,Equity
EBY.V,Emerald Bay Energy Inc.,VAN,CDNX,S,Equity
EQN.L,Equiniti Group plc,LSE,London,S,Equity
ESL.L,Eddie Stobart Logistics plc,LSE,London,S,Equity
ESP.L,Empiric Student Property plc,LSE,London,S,Equity
EVK.F,Evonik Industries AG,FRA,Frankfurt,S,Equity
42Z.SI,Eindec Corporation Limited,SES,Singapore,S,Equity
F,Ford Motor Company,NYQ,NYSE,S,Equity
FTCH,Farfetch Ltd,NYS,NYSE,S,Equity
FOX.L,Fox Marble Holdings PLC,LSE,London,S,Equity
FCIF.L,Funding Circle SME Income Fund Limited,LSE,London,S,Equity
FEVR.L,Fevertree Drinks Plc,LSE,London,S,Equity
